,videoId,negative,positive,neutral
0,xkgt1Avnvw0,-1,1,0
1,Sf-klthGrqA,-1,2,1
2,4Z0O1lJBU7g,-1,1,0
3,KWoI9jTHHlk,-1,1,0
4,32y2dG2tLOg,-1,1,0
5,UBHE-ybybU4,-1,1,0
6,KDLw1_yBN0s,-1,1,0
7,LIOQ9Enw7uE,-1,1,0
8,kMkRFZSRaVE,-1,1,0
9,sehFzoKFnE8,-1,1,0
10,bCk2T2eElF8,-1,2,1
11,7qbPOTbbyWQ,-1,1,0
12,NIqosok1y48,-1,1,0
13,h8ic6KkDtgo,-1,1,0
14,Prj60tOHPWM,-1,1,0
15,twjL93urkE4,-1,1,0
16,yAKEEf3jr9k,-1,1,0
17,xvhbrBcVzOs,-2,1,-1
18,Ns9qegcNAWg,-1,1,0
19,u-ymcjqa8W0,-1,2,1
20,F_pKB_C1NdQ,-1,1,0
21,m2VrrlXpx3M,-1,1,0
22,ZPeE4xvpTFo,-1,1,0
23,W4H_riuvXRA,-1,1,0
24,iUTrUYG_lNQ,-1,1,0
25,EmybLUXRqo0,-2,1,-1
26,_QWNrq2hIA0,-1,1,0
27,Y0dlgcWO4Qc,-1,1,0
28,id2oxroh4u0,-1,1,0
29,OBhd9EEeK6w,-1,1,0
30,KaSWxwc8WrQ,-1,1,0
32,78uzg-dqqYM,-1,1,0
33,eIshEAf45go,-2,1,-1
34,N_hwiy1riak,-2,1,-1
35,bcdEm4sJobA,-1,1,0
36,PobCjWxH4cE,-2,1,-1
37,wtE24K-dy_A,-1,1,0
38,aJ41Pk_eYqg,-2,1,-1
39,CjKHp1EGRRM,-2,2,-1
40,dypp-yyJmHA,-1,1,0
42,UzRrdUzrn0Y,-1,1,0
43,uuVK7M5S1uE,-1,1,0
44,NJN3x2568kY,-1,1,0
45,aJUp7cW7xoI,-1,1,0
46,HKC271MEOyI,-1,1,0
47,ozbow9Mn4Ik,-1,1,0
48,rYQ0e-QB_Mk,-1,1,0
49,LIOCKo5I5VY,-1,1,0
50,4Y1v3YfyPKk,-1,1,0
51,99LWTs5ivTI,-1,1,0
52,trfQ2hzzFJk,-1,1,0
53,Y3upzA_vK7s,-1,1,0
54,ohVEuxKDYGI,-1,1,0
55,Xx1NwxCpIlY,-1,1,0
56,GaVwXoneLbE,-1,1,0
57,Dib8ENuSf0g,-1,1,0
58,V13oq_xd4Gw,-1,2,1
59,kKTFCt0hqWI,-1,1,0
60,cMlZMUhNxcs,-1,1,0
61,FORtQGiArjI,-1,1,0
62,JJQVzz7P94s,-1,1,0
64,xUfJY3VfDD0,-1,1,0
65,R_OarE3EpV0,-1,1,0
67,nLVpOb2ytSs,-2,2,-1
68,O81gZQwaXvk,-1,1,0
70,9cjMBvJSr6U,-1,1,0
71,6DgjxLpIuTI,-1,1,0
73,_GJETT_nN2I,-1,1,0
74,M_kZv8zzWmY,-1,1,0
75,6h7SqMALrYk,-1,1,0
76,W8aF0n7nkC4,-1,1,0
77,pVJJUtT7dlM,-1,1,0
78,yQogVHkH2xM,-1,1,0
79,FGoshxDr0wA,-1,1,0
80,2eVd1h2STDg,-1,1,0
81,tbuOOUjJhtk,-2,1,-1
82,mXR7BC-f3zU,-1,1,0
83,OCOtc_l_iw0,-2,1,-1
84,x3MJmiwANKI,-1,1,0
85,2g1Ga1eN1hE,-1,1,0
86,sv01DdFKMgE,-1,1,0
87,pX49Wl2QyfE,-4,1,-1
88,_WUNCIQLv-I,-2,1,-1
89,W89BdqXgo4s,-1,1,0
90,WOfgS63FXcA,-2,2,-1
91,lwcYOZ0YWjo,-1,1,0
92,zmcCJJq-CuE,-3,1,-1
93,a20H_eMbOR4,-1,1,0
94,AVUlG4M1HTE,-1,1,0
95,NmI-GqbJZQ4,-1,1,0
96,s2R7xbIbQ2Q,-1,3,1
97,0SlyeRleIAM,-1,1,0
98,CnYwMliFBSQ,-1,1,0
99,Iko81aMlrPQ,-1,1,0
100,0KztdvTaPss,-1,1,0
101,OY4b7CQRDL8,-1,1,0
102,qQky1CzlOOM,-1,1,0
103,FZecqlWBUvU,-4,2,-1
104,ze-LPug9gug,-1,1,0
105,s49NmIUSjfs,-1,1,0
106,dKAqtIUdoPw,-1,1,0
107,hz6hKQgCdcY,-1,1,0
