,session_id,order_euros,purchase,paid_campaign,preferential_client,referral,user_agent,paid_campaign_binary,paid_campaign_1,paid_campaign_2,paid_campaign_3,paid_campaign_4,referral_google,referral_instagram,referral_facebook,user_agent_mac,user_agent_windows
0,5555694754,150.0,1.0,1.0,0.0,google.com,Mozilla/5.0 (Windows NT 6.2; lo-LA; rv:1.9.1.20) Gecko/2016-06-03 07:20:39 Firefox/3.6.10,1,1,0,0,0,1,0,0,0,1
1,5555694755,0.0,0.0,4.0,0.0,instagram.com,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/531.10.5 (KHTML, like Gecko) Version/4.1 Safari/531.10.5",1,0,0,0,1,0,1,0,0,1
2,5555694756,0.0,0.0,0.0,0.0,instagram.com,Mozilla/5.0 (Android 2.3.6; Mobile; rv:7.0) Gecko/7.0 Firefox/7.0,0,0,0,0,0,0,1,0,0,0
3,5555694757,0.0,0.0,0.0,0.0,google.com,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/4.0),0,0,0,0,0,1,0,0,0,1
4,5555694758,0.0,0.0,2.0,0.0,google.com,Opera/9.52.(X11; Linux i686; bho-IN) Presto/2.9.173 Version/10.00,1,0,1,0,0,1,0,0,0,0
5,5555694759,0.0,0.0,2.0,0.0,ross.biz,Opera/8.38.(X11; Linux x86_64; ps-AF) Presto/2.9.170 Version/10.00,1,0,1,0,0,0,0,0,0,0
6,5555694760,0.0,0.0,0.0,0.0,beasley-lopez.info,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10 10_1) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/31.0.820.0 Safari/536.1",0,0,0,0,0,0,0,0,1,0
7,5555694761,0.0,0.0,0.0,0.0,lin.com,Mozilla/5.0 (Windows NT 6.2; sw-TZ; rv:1.9.2.20) Gecko/2011-08-27 10:11:44 Firefox/3.8,0,0,0,0,0,0,0,0,0,1
8,5555694762,0.0,0.0,0.0,0.0,google.com,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/3.0),0,0,0,0,0,1,0,0,0,1
9,5555694763,0.0,0.0,1.0,0.0,facebook.com,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/4.1),1,1,0,0,0,0,0,1,0,1
10,5555694764,0.0,0.0,0.0,0.0,google.com,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/5.0),0,0,0,0,0,1,0,0,0,1
11,5555694765,150.0,1.0,1.0,0.0,google.com,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/535.21.1 (KHTML, like Gecko) Version/4.1 Safari/535.21.1",1,1,0,0,0,1,0,0,0,1
12,5555694766,0.0,0.0,0.0,0.0,dunn.com,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_4 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/15.8k8199.0 Mobile/18L826 Safari/531.1",0,0,0,0,0,0,0,0,1,0
13,5555694767,0.0,0.0,3.0,0.0,campbell.info,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.1),1,0,0,1,0,0,0,0,0,1
14,5555694768,0.0,0.0,0.0,0.0,facebook.com,"Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/21.0.849.0 Safari/534.0",0,0,0,0,0,0,0,1,0,0
15,5555694769,0.0,0.0,3.0,0.0,woodward.com,Opera/9.60.(X11; Linux x86_64; brx-IN) Presto/2.9.172 Version/10.00,1,0,0,1,0,0,0,0,0,0
16,5555694770,0.0,0.0,0.0,0.0,mcguire-wilson.biz,Opera/8.76.(X11; Linux x86_64; sq-AL) Presto/2.9.161 Version/12.00,0,0,0,0,0,0,0,0,0,0
17,5555694771,0.0,0.0,4.0,0.0,instagram.com,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.0),1,0,0,0,1,0,1,0,0,1
18,5555694772,150.0,1.0,3.0,0.0,google.com,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10 11_6; rv:1.9.3.20) Gecko/2012-08-28 09:55:01 Firefox/3.6.7,1,0,0,1,0,1,0,0,1,0
19,5555694773,239.0,1.0,4.0,1.0,barnes.info,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/26.0.897.0 Mobile/85B043 Safari/532.0",1,0,0,0,1,0,0,0,1,0
20,5555694774,150.0,1.0,1.0,0.0,google.com,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.0),1,1,0,0,0,1,0,0,0,1
21,5555694775,150.0,1.0,0.0,0.0,google.com,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10 9_9 rv:6.0; mai-IN) AppleWebKit/534.45.3 (KHTML, like Gecko) Version/5.0.1 Safari/534.45.3",0,0,0,0,0,1,0,0,1,0
22,5555694776,0.0,0.0,2.0,0.0,instagram.com,Mozilla/5.0 (Android 6.0; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0,1,0,1,0,0,0,1,0,0,0
23,5555694777,0.0,0.0,0.0,0.0,santiago.com,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/16.8v9838.0 Mobile/82X075 Safari/535.0",0,0,0,0,0,0,0,0,1,0
24,5555694778,259.0,1.0,0.0,1.0,google.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/11.8r1779.0 Mobile/00Z417 Safari/531.1",0,0,0,0,0,1,0,0,1,0
25,5555694779,0.0,0.0,0.0,0.0,facebook.com,"Mozilla/5.0 (Linux; Android 10) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/50.0.895.0 Safari/532.2",0,0,0,0,0,0,0,1,0,0
26,5555694780,0.0,0.0,0.0,0.0,maldonado-white.net,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.0),0,0,0,0,0,0,0,0,0,1
27,5555694781,0.0,0.0,3.0,0.0,henderson.net,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/25.0.860.0 Safari/532.0",1,0,0,1,0,0,0,0,0,0
28,5555694782,0.0,0.0,3.0,0.0,instagram.com,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.1),1,0,0,1,0,0,1,0,0,1
29,5555694783,0.0,0.0,2.0,0.0,mccullough.org,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/16.0.803.0 Safari/534.0",1,0,1,0,0,0,0,0,0,1
30,5555694784,0.0,0.0,2.0,0.0,wagner.com,Mozilla/5.0 (Windows 98; fur-IT; rv:1.9.2.20) Gecko/2017-09-20 17:34:41 Firefox/3.6.12,1,0,1,0,0,0,0,0,0,1
31,5555694785,0.0,0.0,3.0,0.0,blake.com,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; hu-HU) AppleWebKit/531.9.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6531.9.3",1,0,0,1,0,0,0,0,1,0
